N,P,K,temperature,humidity,ph,rainfall,label,state
99.74,42.46,44.97,26.05,79.68,5.93,229.8,rice,Tamil Nadu
86.63,54.52,46.7,27.28,75.57,6.13,201.49,rice,West Bengal
91.1,42.46,40.51,31.18,84.46,6.72,238.65,rice,West Bengal
95.34,51.36,46.86,34.96,82.95,5.85,175.64,rice,Tamil Nadu
91.09,56.02,46.62,30.06,74.08,6.95,175.68,rice,Odisha
89.92,43.8,41.22,32.28,81.12,5.98,164.79,rice,Andhra Pradesh
92.24,53.63,44.98,31.79,77.19,5.77,201.51,rice,Odisha
84.08,41.66,43.17,28.2,79.69,6.47,169.03,rice,Punjab
94.33,41.77,40.45,33.81,87.88,6.47,213.95,rice,Tamil Nadu
92.15,47.93,47.47,25.55,86.3,6.09,151.79,rice,Odisha
90.57,46.44,46.86,25.34,71.15,6.32,213.61,rice,Andhra Pradesh
97.82,42.59,41.43,30.14,74.76,6.58,221.39,rice,Tamil Nadu
97.46,50.51,44.35,29.84,73.23,6.13,239.15,rice,West Bengal
90.17,46.32,47.6,31.8,72.39,6.86,163.81,rice,Tamil Nadu
89.27,58.51,47.65,27.36,78.69,6.51,221.84,rice,West Bengal
83.68,42.69,49.67,30.96,78.26,6.57,135.94,rice,Odisha
95.33,47.01,49.64,27.91,81.84,6.52,209.16,rice,Odisha
98.35,59.96,45.35,30.76,75.92,5.56,216.34,rice,Tamil Nadu
84.92,47.95,48.8,31.61,88.34,6.87,128.85,rice,Andhra Pradesh
99.91,40.1,42.75,30.65,72.14,6.4,129.94,rice,Odisha
82.4,59.95,46.31,25.48,88.91,6.96,132.73,rice,West Bengal
93.92,59.0,45.35,30.48,89.16,6.48,137.39,rice,West Bengal
81.22,46.96,45.18,34.04,73.41,6.84,245.1,rice,Tamil Nadu
97.87,47.44,46.77,26.76,79.1,5.76,142.6,rice,Odisha
81.86,40.63,40.63,25.76,73.5,6.59,185.42,rice,Punjab
87.95,53.5,47.49,26.18,81.05,6.34,129.5,rice,West Bengal
93.61,52.58,44.65,29.28,81.24,5.72,221.0,rice,Punjab
89.14,57.08,40.42,28.44,74.59,6.72,209.99,rice,Andhra Pradesh
82.54,40.94,47.84,31.29,72.84,6.53,236.13,rice,West Bengal
94.1,52.16,48.71,30.78,85.6,5.74,140.31,rice,Odisha
96.03,44.33,42.78,29.59,78.13,5.65,225.01,rice,Punjab
82.33,42.51,43.58,28.37,75.49,6.15,121.18,rice,Andhra Pradesh
89.66,45.12,45.32,33.8,70.72,6.42,161.65,rice,Punjab
95.77,57.26,43.46,33.9,79.13,6.62,203.46,rice,Punjab
97.55,58.15,47.67,32.44,71.36,5.81,194.61,rice,Punjab
91.44,54.73,43.12,32.26,78.03,5.93,162.25,rice,West Bengal
85.35,57.45,43.1,27.33,70.92,5.81,192.81,rice,Tamil Nadu
84.7,53.31,49.23,32.7,72.65,7.0,178.08,rice,Andhra Pradesh
96.15,49.87,43.12,25.33,83.78,6.72,148.04,rice,West Bengal
93.63,56.2,44.96,34.32,76.88,6.02,237.12,rice,Punjab
97.89,50.65,40.88,25.44,87.44,6.8,150.84,rice,Tamil Nadu
86.75,40.67,46.36,29.22,74.16,5.59,126.0,rice,West Bengal
91.3,51.79,48.79,31.56,76.71,6.54,186.55,rice,Odisha
84.23,48.42,49.61,26.42,86.77,5.82,222.02,rice,West Bengal
85.58,49.94,47.25,27.65,78.07,6.1,216.64,rice,Punjab
82.68,44.54,46.32,25.32,72.43,6.08,185.89,rice,West Bengal
88.36,55.05,43.22,26.98,88.07,5.72,244.43,rice,Andhra Pradesh
97.38,44.14,41.24,31.24,89.02,6.76,225.33,rice,West Bengal
85.21,54.66,43.72,26.56,82.02,5.76,243.63,rice,Punjab
89.04,51.22,42.76,33.38,86.39,5.58,141.56,rice,West Bengal
82.85,41.67,40.98,33.97,74.51,6.88,173.28,rice,Tamil Nadu
81.82,58.84,40.8,27.83,74.72,5.87,217.57,rice,Tamil Nadu
88.37,56.5,40.91,34.95,82.5,6.4,126.39,rice,Andhra Pradesh
84.63,55.95,48.57,28.87,89.9,5.74,184.75,rice,Odisha
85.32,43.48,42.47,34.72,82.59,6.19,176.9,rice,Punjab
94.29,50.35,41.45,31.02,80.56,6.78,191.18,rice,Punjab
97.65,58.48,41.62,31.33,82.08,6.4,180.59,rice,West Bengal
83.96,57.43,45.41,27.92,73.32,6.98,170.62,rice,Odisha
89.32,43.11,46.0,29.39,87.86,5.88,122.04,rice,West Bengal
96.49,52.35,46.62,32.49,82.46,6.38,234.66,rice,Tamil Nadu
88.23,52.45,45.1,25.37,72.04,6.44,246.28,rice,Odisha
86.06,40.08,45.71,28.15,73.47,6.75,208.7,rice,Andhra Pradesh
83.57,43.3,42.21,29.24,87.52,6.83,249.33,rice,Andhra Pradesh
90.3,51.12,44.52,31.38,77.12,5.87,161.81,rice,Odisha
96.36,43.12,43.72,34.33,88.83,6.47,158.85,rice,Andhra Pradesh
92.7,47.0,40.24,27.79,76.32,6.22,188.8,rice,West Bengal
86.28,48.22,40.75,27.29,75.73,5.7,241.85,rice,Punjab
80.81,42.24,49.47,30.01,83.88,5.8,160.37,rice,Punjab
89.93,40.42,47.11,27.23,88.76,6.61,172.42,rice,Odisha
90.53,41.28,46.84,26.83,74.06,6.08,189.78,rice,Punjab
97.93,50.53,47.04,34.14,81.3,6.53,219.28,rice,West Bengal
99.83,40.47,48.1,32.55,85.2,5.51,220.46,rice,Odisha
87.09,40.05,41.77,25.35,85.1,6.24,218.62,rice,West Bengal
89.75,53.27,50.0,34.23,72.13,6.68,133.79,rice,Andhra Pradesh
88.08,43.31,49.0,32.77,76.7,5.94,125.55,rice,Odisha
86.41,57.17,40.46,27.1,70.8,5.99,243.0,rice,Odisha
85.58,51.43,45.45,33.64,76.04,6.72,201.69,rice,West Bengal
85.38,43.0,47.47,34.35,71.6,5.53,136.2,rice,West Bengal
96.35,51.45,46.99,32.3,83.5,6.87,157.74,rice,West Bengal
86.14,49.96,42.27,34.11,79.16,6.69,130.24,rice,Punjab
86.66,54.6,46.17,28.32,75.16,6.96,233.68,rice,Andhra Pradesh
81.59,56.14,46.71,30.78,76.71,6.88,200.77,rice,West Bengal
99.46,45.11,45.57,33.96,83.3,6.15,203.25,rice,West Bengal
91.92,41.75,48.81,26.44,71.22,6.12,143.28,rice,Tamil Nadu
98.95,47.38,45.89,25.82,76.02,6.29,175.91,rice,Punjab
92.18,52.94,45.9,33.8,82.93,5.77,246.23,rice,Andhra Pradesh
86.48,58.73,47.4,25.34,80.85,6.67,234.13,rice,Tamil Nadu
87.72,58.11,44.69,32.46,74.08,5.52,129.88,rice,Punjab
82.26,45.78,40.58,25.2,72.07,6.95,238.31,rice,Andhra Pradesh
89.47,59.48,40.5,33.57,81.86,5.62,197.35,rice,Odisha
