state,crop,N,P,K,ph,rainfall_2025_mm,temp_2025_C,pesticide_2025_kg_ha,yield_2025_t_ha
West Bengal,pulses,14.57,47.99,20.19,6.51,389.38,20.03,0.244,1.031
Karnataka,millet,44.11,24.57,24.66,6.02,555.35,32.22,0.156,2.324
Tripura,wheat,80.75,43.3,24.96,6.97,318.68,15.15,0.245,3.239
Assam,sugarcane,127.67,60.28,118.31,6.45,940.71,30.22,0.981,76.48
Odisha,mango,111.67,50.9,94.42,5.72,853.06,22.72,1.207,10.783
West Bengal,pulses,15.53,45.72,30.7,7.33,448.69,23.95,0.178,0.514
Odisha,millet,37.73,21.45,19.03,6.16,450.89,31.11,0.131,1.883
Assam,coffee,41.91,39.02,56.99,5.67,2273.69,25.99,0.859,2.524
Arunachal Pradesh,soybean,27.86,57.32,44.68,6.19,496.01,26.85,0.287,1.824
Goa,sugarcane,162.63,56.25,113.42,6.75,1534.24,22.09,2.002,70.426
Maharashtra,rice,86.27,32.31,44.14,5.93,1043.29,28.63,1.231,4.166
Kerala,rice,78.38,46.39,48.85,6.3,1014.95,28.12,0.457,5.255
Jharkhand,groundnut,43.43,27.45,73.35,5.74,664.23,21.79,0.334,1.878
Tamil Nadu,tea,58.63,23.57,35.5,5.13,2876.69,19.86,0.591,2.396
Assam,potato,178.67,87.83,207.82,6.08,1130.1,22.57,1.331,24.695
Meghalaya,tomato,143.7,57.17,143.03,5.78,1643.51,18.28,2.093,30.767
Tripura,wheat,98.54,55.9,23.77,6.85,521.04,11.39,0.496,2.629
Kerala,tea,33.94,37.78,54.22,5.31,2878.9,23.68,0.473,3.857
Meghalaya,rice,102.37,49.18,54.58,5.65,868.46,25.68,0.554,2.95
Punjab,sugarcane,166.37,65.09,118.94,6.96,1582.46,30.18,2.228,69.259
Assam,millet,35.74,24.6,36.06,7.61,192.75,34.23,0.064,1.122
Tripura,cotton,86.2,33.55,76.09,6.97,618.23,29.54,1.783,1.899
Odisha,pulses,17.3,29.54,38.06,7.53,426.12,29.56,0.185,1.231
Assam,millet,23.16,24.73,22.24,6.68,485.53,25.86,0.255,1.898
Haryana,rice,70.98,40.58,45.41,6.84,799.87,25.71,1.609,3.964
Punjab,soybean,55.14,55.94,27.12,7.04,818,25.31,0.47,1.811
Odisha,soybean,52.26,44.19,42.8,6.99,460.47,25.67,0.623,2.03
Kerala,mango,118.64,23.56,96.69,6.59,1454.91,35.42,0.509,23.1
Gujarat,groundnut,29.33,33.4,70.43,7.04,691.38,23.03,0.263,2.204
Manipur,tomato,90.47,76.58,149.09,5.64,1247.75,19.26,3.275,65.584
Meghalaya,coffee,39.67,37.4,36.67,5.89,1711.11,22.67,0.442,1.588
Telangana,cotton,60.36,36.86,54.96,6.34,812.38,28.51,2.393,1.661
Uttarakhand,coffee,41.6,39.01,66.2,6.26,1327.56,21.62,0.747,0.755
Kerala,millet,40.7,25.66,17.59,7.79,380.39,29.9,0.331,1.049
Sikkim,wheat,73.1,48.36,41.1,6.8,541.08,12.73,0.585,2.665
